episode,max_mult,min_mult,surge_util,score,revenue_baseline,revenue_dynamic,revenue_gain_pct,util_baseline,util_dynamic,wait_baseline,wait_dynamic,wait_reduction_pct,offpeak_uplift_sessions,offpeak_uplift_pct,pricing_efficiency,customer_response_rate
10,1.1616471597382798,0.7528912173499169,0.8752655635292629,11.632662645828725,2025419.748493453,2087832.6765962373,3.081481167012827,0.14773404664897258,0.15728670219549828,87.6619341563786,82.07563365991562,6.372549898907863,1564.9635801198347,20.007205064175846,14.246614699833549,1.2369442384504394
11,1.2211074934345552,0.7800489307651767,0.855300272310602,13.02809940796678,2025419.748493453,2107700.2899499172,4.062394548965275,0.14773404664897258,0.1558546789003021,87.6619341563786,79.85343094074196,8.907518743206367,1408.6632921121895,18.008991205729856,14.535404389672602,1.2113447357189635
12,1.2211074934345552,0.7800489307651767,0.855300272310602,13.02809940796678,2025419.748493453,2107700.2899499172,4.062394548965275,0.14773404664897258,0.1558546789003021,87.6619341563786,79.85343094074196,8.907518743206367,1408.6632921121895,18.008991205729856,14.535404389672602,1.2113447357189635
13,1.2754205784803068,0.7834278842396213,0.8639738542713016,14.67607018637662,2025419.748493453,2122855.537515726,4.810646736052987,0.14773404664897258,0.15580425901727127,87.6619341563786,78.02874422112174,10.989022804439136,1426.1629225967433,18.232714428493267,14.640693977391303,1.2102826729217424
14,1.2754205784803068,0.7834278842396213,0.8639738542713016,14.67607018637662,2025419.748493453,2122855.537515726,4.810646736052987,0.14773404664897258,0.15580425901727127,87.6619341563786,78.02874422112174,10.989022804439136,1426.1629225967433,18.232714428493267,14.640693977391303,1.2102826729217424
15,1.2754205784803068,0.7834278842396213,0.8639738542713016,14.67607018637662,2025419.748493453,2122855.537515726,4.810646736052987,0.14773404664897258,0.15580425901727127,87.6619341563786,78.02874422112174,10.989022804439136,1426.1629225967433,18.232714428493267,14.640693977391303,1.2102826729217424
16,1.2754205784803068,0.7834278842396213,0.8639738542713016,14.67607018637662,2025419.748493453,2122855.537515726,4.810646736052987,0.14773404664897258,0.15580425901727127,87.6619341563786,78.02874422112174,10.989022804439136,1426.1629225967433,18.232714428493267,14.640693977391303,1.2102826729217424
17,1.3323187048637353,0.8230952459996176,0.8535121021038484,15.430855735843215,2025419.748493453,2140580.51319442,5.685772778043945,0.14773404664897258,0.15330555003897386,87.6619341563786,75.90279047364398,13.414196020085182,1141.8567462754454,14.598015165883988,15.04551462774421,1.1694877816500302
18,1.4009567753643075,0.8135300297555368,0.8152415124037108,17.83062565920406,2025419.748493453,2161462.197347937,6.716753352270569,0.14773404664897258,0.15239333540412575,87.6619341563786,72.84796305269992,16.898978155389884,1135.306211074996,14.51427014925845,15.272592526535696,1.173838270746132
19,1.4009567753643075,0.8135300297555368,0.8152415124037108,17.83062565920406,2025419.748493453,2161462.197347937,6.716753352270569,0.14773404664897258,0.15239333540412575,87.6619341563786,72.84796305269992,16.898978155389884,1135.306211074996,14.51427014925845,15.272592526535696,1.173838270746132
20,1.4009567753643075,0.8135300297555368,0.8152415124037108,17.83062565920406,2025419.748493453,2161462.197347937,6.716753352270569,0.14773404664897258,0.15239333540412575,87.6619341563786,72.84796305269992,16.898978155389884,1135.306211074996,14.51427014925845,15.272592526535696,1.173838270746132
21,1.4374987943689004,0.7804337327022042,0.8043498970067586,19.67708317662021,2025419.748493453,2171242.491067326,7.199630727523959,0.14773404664897258,0.15312012170637235,87.6619341563786,71.29324712547239,18.67251411736638,1305.869029547165,16.69482267383233,15.2331405057954,1.203022774956393
