hour_bucket,site,sessions,energy_kwh,mean_utilization,mean_charge_h,mean_energy_cost,capacity,station_utilization,occupancy_density,hour,dow,is_weekend,month,is_peak,lag1_sessions,lag24_sessions,roll3_sessions,lag1_util
2018-07-29 08:00:00-07:00,caltech,1.0,10.692,0.9998243765367053,1.581388888888889,7.0,54,0.029284979423868315,0.018518518518518517,8,6,1,7,1,0.0,6.0,0.3333333333333333,0.0
2018-07-29 09:00:00-07:00,caltech,2.0,15.277,0.7725553306368549,2.2794444444444446,7.0,54,0.08442386831275721,0.037037037037037035,9,6,1,7,1,1.0,2.0,1.0,0.029284979423868315
2018-07-29 10:00:00-07:00,caltech,4.0,47.628,0.5772106422940899,3.1714583333333333,7.0,54,0.23492283950617285,0.07407407407407407,10,6,1,7,1,2.0,3.0,2.3333333333333335,0.08442386831275721
2018-07-29 11:00:00-07:00,caltech,1.0,10.588,0.378879652449977,2.5194444444444444,7.0,54,0.04665637860082304,0.018518518518518517,11,6,1,7,1,4.0,3.0,2.3333333333333335,0.23492283950617285
2018-07-29 12:00:00-07:00,caltech,3.0,41.96,0.9066550727936272,5.120092592592592,7.0,54,0.2844495884773663,0.05555555555555555,12,6,1,7,1,1.0,6.0,2.6666666666666665,0.04665637860082304
2018-07-29 13:00:00-07:00,caltech,2.0,20.067999999999998,0.8531936912005047,2.5433333333333334,7.0,54,0.09419753086419753,0.037037037037037035,13,6,1,7,1,3.0,3.0,2.0,0.2844495884773663
2018-07-29 14:00:00-07:00,caltech,2.0,6.593,0.38264168389823244,0.7175,7.0,54,0.026574074074074076,0.037037037037037035,14,6,1,7,1,2.0,3.0,2.3333333333333335,0.09419753086419753
2018-07-29 15:00:00-07:00,caltech,3.0,14.796,0.8742434439092457,1.0974074074074074,7.0,54,0.06096707818930041,0.05555555555555555,15,6,1,7,1,2.0,3.0,2.3333333333333335,0.026574074074074076
2018-07-29 16:00:00-07:00,caltech,3.0,35.555,0.8565523633837001,2.4974074074074073,7.0,54,0.1387448559670782,0.05555555555555555,16,6,1,7,1,3.0,5.0,2.6666666666666665,0.06096707818930041
2018-07-29 17:00:00-07:00,caltech,6.0,85.49799999999999,0.9514780074924323,2.5990740740740743,9.0,54,0.2887860082304527,0.1111111111111111,17,6,1,7,1,3.0,7.0,4.0,0.1387448559670782
2018-07-29 18:00:00-07:00,caltech,6.0,102.10499999999999,0.941241206677363,4.155833333333334,9.0,54,0.4617592592592593,0.1111111111111111,18,6,1,7,0,6.0,0.0,5.0,0.2887860082304527
2018-07-29 19:00:00-07:00,caltech,2.0,14.186,0.871292883954204,1.1263888888888889,9.0,54,0.041718106995884775,0.037037037037037035,19,6,1,7,0,6.0,3.0,4.666666666666667,0.4617592592592593
2018-07-29 20:00:00-07:00,caltech,3.0,26.506,0.45589980020041915,1.7337962962962965,9.0,54,0.09632201646090535,0.05555555555555555,20,6,1,7,0,2.0,1.0,3.6666666666666665,0.041718106995884775
2018-07-29 21:00:00-07:00,caltech,3.0,11.115,0.9975447739145237,0.746851851851852,9.0,54,0.04149176954732511,0.05555555555555555,21,6,1,7,0,3.0,3.0,2.6666666666666665,0.09632201646090535
2018-07-29 22:00:00-07:00,caltech,1.0,39.836,0.6704892966360856,6.090277777777778,7.0,54,0.11278292181069959,0.018518518518518517,22,6,1,7,0,3.0,2.0,2.3333333333333335,0.04149176954732511
2018-07-29 23:00:00-07:00,caltech,1.0,2.546,0.9943741209563994,0.3927777777777778,7.0,54,0.007273662551440329,0.018518518518518517,23,6,1,7,0,1.0,2.0,1.6666666666666667,0.11278292181069959
2018-07-30 00:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,0,0,0,7,0,1.0,0.0,0.6666666666666666,0.007273662551440329
2018-07-30 01:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,1,0,0,7,0,0.0,0.0,0.3333333333333333,0.0
2018-07-30 02:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,2,0,0,7,0,0.0,1.0,0.0,0.0
2018-07-30 03:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,3,0,0,7,0,0.0,1.0,0.0,0.0
